,cancelation
35949,False
111923,False
111826,False
74648,True
19315,False
75530,True
18115,False
22106,False
19858,False
69664,True
21237,False
29199,False
111448,False
118349,False
35271,False
86344,False
1677,True
78805,False
94177,False
112877,False
809,True
63412,True
14096,False
50506,True
76728,False
11852,True
40073,False
42015,False
12616,True
34615,False
98798,False
68181,True
87105,False
62405,True
56534,True
56054,True
31638,False
78763,False
91072,False
50880,True
28744,False
91190,False
31987,False
78847,False
32500,False
40076,True
35749,False
98919,False
25496,False
67683,True
97931,False
26467,False
16802,False
6694,True
99254,False
66020,True
112720,False
31362,False
39358,False
88392,False
76696,False
70229,True
60783,True
5811,False
33378,False
1874,True
68126,True
41538,True
25373,False
99814,False
38582,False
12564,True
14395,False
117095,False
24613,False
28100,False
98275,False
36214,False
55643,True
40352,False
100351,False
65788,True
85732,False
80199,False
99211,False
28295,False
86100,False
79680,False
80448,True
50681,False
22634,False
109205,False
16701,False
31957,False
6462,True
61004,True
76302,False
5349,True
8053,True
85780,False
66564,True
114223,False
29686,False
51356,True
98414,False
98816,False
99575,False
81376,False
72120,True
42775,True
107358,False
26369,False
45145,True
44451,True
20802,False
92311,False
11133,True
105796,False
21973,False
79996,True
40404,True
79747,True
80294,True
73297,True
57644,True
70150,True
21730,False
96733,False
44371,True
55676,True
44935,True
22131,False
82544,False
18043,False
29058,False
1003,True
76975,False
106016,False
84806,False
7044,True
16535,False
96976,False
97437,False
89066,False
98150,False
46679,False
77816,False
112037,False
106436,False
117808,False
44773,False
92325,False
29420,False
10050,True
28378,False
72568,True
60554,True
13317,True
47820,True
51648,True
54093,True
47370,False
63837,True
79821,False
108198,False
101720,False
75731,True
16507,False
27385,False
31001,False
1817,False
30339,False
17075,False
115838,False
111361,False
15158,True
19453,False
104687,False
36438,False
102931,False
80631,True
94779,False
61832,True
110373,False
84876,False
7888,True
109081,False
73176,True
13551,True
52435,True
70064,True
79211,False
63238,True
81147,False
2190,True
21320,False
44650,False
117479,False
35074,False
16961,False
5824,False
2315,True
90073,False
107807,False
48955,True
53071,True
34761,False
118592,False
106523,False
59728,True
39667,False
87209,False
44504,False
13326,True
114129,False
4055,True
96058,False
12373,True
19318,False
14120,False
30674,False
115173,False
51148,False
29120,False
11562,True
87009,False
11368,True
1077,True
77573,False
80900,False
97322,False
21739,False
54288,True
2406,False
100346,False
39749,False
41836,True
92382,False
83329,False
47535,True
38968,False
28366,False
32960,False
12525,True
35417,False
40895,False
106134,False
23503,False
24338,False
100096,False
82326,True
77455,False
23144,False
91676,False
41584,False
90172,False
106888,False
65279,True
95482,False
16470,False
113404,False
13290,True
61036,True
22661,False
46767,False
48051,False
71209,True
46244,False
65496,True
61505,True
53888,True
104740,False
54953,True
87342,False
27261,False
11515,True
112654,False
76684,False
75907,True
73433,True
55086,True
96658,False
114168,False
41590,False
41465,False
50556,True
60068,True
56559,True
21643,False
37778,False
8817,True
64888,True
101286,False
28340,False
109921,False
22231,False
23189,False
95333,False
115016,False
41560,False
67058,True
65038,True
94952,False
81054,True
85216,False
90948,False
45610,True
65593,True
76249,True
106193,False
30580,False
55787,True
7299,True
97311,False
50762,False
116240,False
32339,False
107291,False
93332,False
95556,False
17402,False
117448,False
27303,False
85858,False
8380,True
29653,False
29478,False
112335,False
34732,False
8827,True
103818,False
19427,False
36113,False
50424,False
112727,False
43731,False
37982,False
85956,False
28156,False
103047,False
89149,False
38980,False
79396,False
74841,True
4764,False
44206,True
33825,False
35267,False
61944,True
68910,True
21528,False
60903,True
110325,False
27634,False
101472,False
48191,True
7477,True
51045,True
61459,True
33970,False
31810,False
77019,False
33728,False
77446,True
80262,False
12286,True
96462,False
21669,False
74606,True
11353,True
68322,True
51631,True
98025,False
59149,True
39284,False
68635,True
1714,False
94721,False
10133,True
93749,False
91492,False
28530,False
24409,False
33721,False
118440,False
58211,True
22137,False
90571,False
91508,False
109297,False
111952,False
16912,False
39239,False
12824,True
83405,False
9101,True
47684,True
27933,False
45997,False
104859,False
31702,False
77337,True
49332,True
98460,False
118781,False
41428,True
39576,False
94818,False
108217,False
79201,True
16576,False
25529,False
83338,False
79004,False
31544,False
7056,True
66241,True
60040,True
80765,True
104898,False
41133,False
98948,False
29917,False
39204,False
92220,False
13586,True
52538,True
21953,False
83410,False
111503,False
62001,True
43097,False
57213,True
12956,True
60063,True
98633,False
92110,False
61573,True
47957,True
96432,False
78877,False
14032,False
85942,False
50081,True
46874,False
44909,False
54007,True
24364,False
106677,False
21081,False
58225,True
33990,False
45478,True
41164,False
9858,True
18535,False
40155,False
70848,True
115090,False
10997,True
102237,False
33000,False
35374,False
87558,False
76988,False
87406,False
58221,True
15077,True
105476,False
50038,True
79997,True
25581,False
41321,True
62303,True
46552,False
77126,False
118828,False
8475,True
113165,False
18138,False
5771,True
20883,False
96660,False
37051,False
44299,True
71076,True
57667,True
59663,True
43998,False
71985,True
13838,False
73568,True
76937,True
66788,True
110757,False
110914,False
30039,False
16261,False
81691,False
48688,False
13297,True
103997,False
108191,False
97835,False
16146,False
46974,True
50728,True
3132,False
64259,True
52478,True
14573,False
22164,False
6923,True
13472,True
21133,False
100873,False
90688,False
106331,False
105455,False
94789,False
67770,True
62234,True
63600,True
55473,True
55178,True
96904,False
71288,True
114030,False
9519,False
97547,False
85437,False
69708,True
104581,False
47994,True
33685,False
28579,False
105795,False
23779,False
19829,False
100987,False
43768,False
9606,True
12791,True
73124,True
95910,False
88676,False
5096,True
88163,False
44375,False
91124,False
37163,False
17756,False
2994,True
78089,False
72604,True
75807,True
16690,False
70420,True
24202,False
153,False
89297,False
11654,True
58830,True
24380,False
107981,False
40983,True
2452,False
8136,False
92544,False
110091,False
98541,False
73991,True
57636,True
72032,True
26742,False
82286,False
12117,True
23420,False
16081,False
43904,True
73706,True
95091,False
33122,False
83094,True
35506,False
15799,False
64159,True
4181,True
104592,False
103843,False
72603,True
88554,False
116425,False
108435,False
8602,True
115248,False
84032,False
16858,False
111237,False
73539,True
8408,True
33640,False
108358,False
77177,True
47739,True
61986,True
105884,False
34527,False
17554,False
77399,False
89013,False
96919,False
86553,False
95596,False
109138,False
102021,False
96729,False
116497,False
86837,False
12490,True
5794,False
65810,True
57107,True
35264,False
51324,True
113088,False
12189,True
66468,True
28998,False
105653,False
104626,False
10379,True
111274,False
61580,True
11404,True
32824,False
8117,True
75874,True
66930,True
30114,False
96422,False
64072,True
41770,False
58466,True
61560,True
52040,True
36702,False
114455,False
71,True
113183,False
62957,True
34996,False
84058,False
63827,True
62362,True
71106,True
61092,True
4712,True
104377,False
45298,False
77736,False
78482,False
93675,False
10654,True
13898,False
65153,True
3065,True
48123,True
50650,True
37833,False
74683,True
8238,True
30321,False
103013,False
105988,False
13780,True
45849,False
15026,True
50390,False
31857,False
15113,True
114226,False
71476,True
24964,False
44152,False
77283,False
46622,True
80697,False
9212,True
100274,False
56531,True
31790,False
51446,True
28273,False
117709,False
67557,True
46950,True
78223,False
102289,False
23924,False
99411,False
53198,True
77769,False
99115,False
32456,False
25872,False
86222,False
89864,False
90897,False
107510,False
8803,True
23236,False
5259,False
44849,False
22797,False
75996,True
30087,False
16908,False
69029,True
56597,True
66147,True
8955,True
115176,False
115299,False
113230,False
79967,False
81459,False
60268,True
13028,True
86943,False
31167,False
38858,False
99438,False
9873,True
36524,False
93748,False
2719,False
8683,True
41821,False
118399,False
104484,False
26661,False
10424,True
18129,False
53131,True
86202,False
34797,False
44017,False
31580,False
114884,False
45342,True
51152,False
51454,True
14888,True
94434,False
112016,False
66307,True
41654,False
33877,False
36335,False
39324,False
76578,True
7212,True
82291,True
14532,False
39670,False
74445,True
71370,True
2810,False
107909,False
11686,True
33388,False
58678,True
38626,False
26053,False
40791,False
6193,True
65194,True
24618,False
111266,False
106302,False
66185,True
11901,True
90898,False
30625,False
17046,False
64624,True
64213,True
87988,False
36895,False
28130,False
73394,True
20376,False
32637,False
27178,False
46525,False
71890,True
65065,True
114998,False
89393,False
9029,True
22158,False
112120,False
109628,False
111730,False
60493,True
66210,True
31767,False
64459,True
44928,True
66354,True
12183,True
118488,False
438,True
49022,True
57306,True
96659,False
84190,False
10066,True
112135,False
53246,True
24629,False
89458,False
105982,False
23316,False
37281,False
3938,False
44070,True
75265,True
74461,True
36874,False
102608,False
46238,False
85882,False
118162,False
30623,False
11450,True
98611,False
98790,False
70641,True
110711,False
106276,False
10711,True
45143,False
95590,False
23874,False
3805,True
110470,False
97668,False
74749,True
72474,True
63737,True
35927,False
111379,False
19000,False
11393,True
90257,False
118471,False
28884,False
8594,True
95663,False
55388,True
74998,True
59468,True
22753,False
10024,True
89105,False
76653,False
64231,True
9737,True
27158,False
93437,False
77912,False
37969,False
80007,True
6171,True
13005,True
21187,False
19377,True
16268,False
79672,False
26150,True
83774,False
37597,False
98341,False
94614,False
96877,False
62346,True
24865,False
87804,False
116142,False
102597,False
29143,False
30429,False
12167,True
99757,False
6841,False
60209,True
90226,False
85319,False
111828,False
105226,False
9941,True
107304,False
99792,False
111922,False
33487,False
4699,False
4495,False
19420,False
4724,False
62244,True
240,False
49676,True
60577,True
37812,False
53544,True
51808,True
73067,True
42416,False
88029,False
5561,False
26239,False
98927,False
89111,False
34244,False
118888,False
48068,True
50281,True
31263,False
67920,True
51852,False
91627,False
75556,False
4250,False
102644,False
43761,False
67862,True
119190,False
31174,False
112628,False
1183,False
23844,False
6821,False
41343,True
39642,False
95785,False
96637,False
70786,True
61114,True
81697,False
73987,True
11715,True
10647,True
37529,False
73622,True
118410,False
104683,False
76294,False
49550,True
81231,True
74350,True
83079,False
61895,True
118607,False
59337,True
16890,False
56615,True
64513,True
72609,True
92255,False
32530,False
71741,True
16885,False
98625,False
118415,False
13010,True
25280,False
16684,False
5543,True
60360,True
107618,False
79401,False
72586,True
66692,True
105573,False
25397,False
7896,True
75370,True
98273,False
16459,False
35014,False
25846,False
108519,False
49377,True
108563,False
113613,False
12614,True
66550,True
115332,False
75030,True
55762,True
109263,False
24527,False
51343,True
16913,False
104328,False
1545,True
5461,True
14838,True
22400,False
54827,True
72344,True
75591,False
69499,True
56868,True
39170,False
67793,True
114364,False
10857,True
90171,False
60850,True
30958,False
27053,False
1642,False
79718,True
94857,False
11663,True
17072,False
88901,False
16835,False
72512,True
104293,False
25809,False
86778,False
48140,True
93750,False
25463,False
72216,True
89275,False
101674,False
87343,False
38015,False
112093,False
22505,False
48352,True
83623,False
21271,False
60523,True
56781,True
93740,False
34496,False
85461,False
56200,True
52633,True
80217,True
2766,False
94372,False
107067,False
44698,False
7514,True
71823,True
35129,False
37602,False
93064,False
103265,False
105616,False
27896,False
88538,False
101788,False
19014,False
91159,False
10440,True
63990,True
3221,False
63095,True
63127,True
90661,False
29911,False
71335,True
115214,False
93483,False
69078,True
94532,False
86373,False
89038,False
71343,True
20878,False
59279,True
88106,False
81257,False
13604,True
117767,False
118722,False
58254,True
21899,False
89196,False
102207,False
46375,True
21969,False
61786,True
15565,False
50047,True
69561,True
92390,False
99376,False
110138,False
108147,False
22155,False
114954,False
28267,False
117474,False
71223,True
35377,False
52144,True
80956,False
57917,True
31176,False
56918,True
7821,True
66375,True
92978,False
57176,True
40988,False
26036,False
58763,True
21475,False
116362,False
71441,True
24670,False
95296,False
23932,False
92094,False
45954,True
57090,True
7070,True
95997,False
9568,True
38386,False
17058,False
64652,True
67735,True
72970,True
14499,False
22990,False
72879,True
66694,True
76409,True
60514,True
55085,True
83677,False
29816,False
68156,True
38491,False
83213,False
71651,True
42283,False
100946,False
75632,True
69376,True
16275,False
78135,False
90749,False
59877,True
10030,True
80269,True
13930,False
63828,True
23534,False
20121,False
102631,False
51692,True
5918,True
69249,True
21654,False
19998,False
16805,False
15148,True
104572,False
94257,False
24274,False
37080,False
23135,False
113866,False
49298,True
73501,True
115255,False
64381,True
6078,False
90293,False
35441,False
44627,False
46823,False
75413,True
14219,False
12021,True
52790,True
76029,True
96057,False
45205,True
91819,False
19071,False
94768,False
59980,True
44368,False
77387,True
68249,True
85046,False
38457,False
48258,True
7353,True
69749,True
46718,False
21687,False
74480,True
24616,False
95270,False
98687,False
60234,True
40968,True
9412,True
68033,True
119000,False
68127,True
67352,True
83963,False
105170,False
111084,False
73973,True
36768,False
43594,False
28808,False
6484,True
106199,False
34078,False
80744,True
53206,True
18386,False
114736,False
25199,False
54626,True
54463,True
50061,True
17394,False
28880,False
60440,True
1761,True
44291,True
4853,False
100186,False
10510,True
107467,False
18659,False
60893,True
8979,True
3416,True
46343,True
19655,False
89814,False
39025,False
95944,False
44204,False
73092,True
94306,False
32420,False
5006,True
47952,False
9280,True
4506,True
20105,False
65560,True
12627,True
87078,False
13065,True
40472,True
20680,False
99819,False
17216,False
93148,False
50580,True
1260,False
88611,False
57878,True
88345,False
50043,True
24315,False
104341,False
29077,False
92326,False
91707,False
57484,False
43183,False
83828,False
6257,False
58711,True
65556,True
39918,False
105809,False
51867,False
8122,False
36063,False
57887,True
106135,False
3151,False
118634,False
109984,False
62018,True
28285,False
110388,False
53436,True
104843,False
24644,False
33200,False
52905,True
109546,False
72972,True
23657,False
112705,False
62693,True
82334,False
32652,False
96678,False
34577,False
54955,True
91548,False
35564,False
25495,False
94574,False
8435,True
113616,False
99436,False
53477,True
51827,True
26289,False
115986,False
84952,False
6714,True
16587,False
55822,True
96141,False
21677,False
45705,False
18536,False
51941,False
24495,False
69905,True
32542,False
87499,False
11920,True
70506,True
100174,False
117581,False
102026,False
22000,False
67342,True
83721,False
76900,False
10118,True
1899,False
19553,False
21558,False
90835,False
50139,True
114955,False
4900,True
83185,False
81307,False
45792,True
118761,False
65228,True
20428,False
102153,False
25075,False
49502,True
11454,True
54426,True
91448,False
112258,False
115833,False
77771,False
17212,False
94092,False
57429,True
64752,True
10856,True
96595,False
48395,True
64204,True
100390,False
67889,True
67633,True
29912,False
39893,False
29549,False
110085,False
26788,False
11322,True
84599,False
102779,False
62345,True
106438,False
89905,False
96935,False
43712,False
68183,True
12932,True
77794,False
114444,False
68646,True
101422,False
107138,False
114232,False
115054,False
29295,False
107564,False
83505,False
89207,False
76641,False
4513,True
28220,False
5684,True
70755,True
116960,False
36241,False
9597,True
105135,False
51899,True
84016,False
84756,False
8105,True
70405,True
88226,False
12046,True
103510,False
957,True
2113,False
46398,False
118006,False
2290,False
86137,False
46994,False
108726,False
35543,False
9666,True
111422,False
15316,True
78389,False
41787,False
58891,True
69958,True
17210,False
63659,True
64333,True
79796,True
95246,False
98710,False
93904,False
103428,False
94398,False
98514,False
52778,True
10679,True
82271,False
6784,True
15116,True
86321,False
621,False
71297,True
3167,False
19761,False
36452,False
49244,True
36211,False
67290,True
6957,True
58990,True
81448,False
57180,True
29865,False
4962,False
112971,False
66199,True
33599,False
16749,False
72914,True
61233,True
23624,False
116482,False
90103,False
66420,True
29474,False
117987,False
9129,True
86941,False
94053,False
91441,False
99158,False
66138,True
119329,False
82653,False
65791,True
100279,False
43840,True
12518,True
28476,False
113110,False
14952,False
101139,False
8621,True
86142,False
65736,True
17311,False
101787,False
57655,True
38447,False
14549,False
43882,True
15635,False
9282,True
107286,False
38962,False
103235,False
39701,False
99018,False
57510,True
16926,False
77097,False
31623,False
114919,False
107619,False
54972,True
93029,False
15803,False
35887,False
85162,False
37100,False
79078,True
31218,False
7990,True
9599,True
76889,False
48243,True
115698,False
68018,True
102938,False
109195,False
20150,False
118505,False
96667,False
65721,True
22391,False
5604,True
21392,False
77778,False
97410,False
72518,True
105630,False
95053,False
94114,False
108668,False
33236,False
101965,False
53844,True
78306,False
79495,False
12080,True
98367,False
109409,False
90222,False
83629,False
54048,True
9385,True
44142,False
46349,False
96455,False
104934,False
46014,False
56497,True
21690,False
63874,True
63460,True
74667,True
109046,False
117667,False
29627,False
106641,False
57898,True
60364,True
77248,True
101073,False
76585,True
55039,True
27851,False
46136,False
119044,False
43596,False
10651,True
105092,False
23854,False
4903,True
92345,False
11027,True
76085,True
39421,False
39160,False
49878,True
88212,False
119034,False
19731,False
117565,False
65245,True
27813,False
96308,False
5714,True
48968,False
6864,True
13695,True
3295,True
53186,True
22267,False
35883,False
34182,False
44230,False
12354,True
51669,True
82582,False
103306,False
117398,False
118800,False
18216,False
89204,False
21341,False
19607,False
1132,False
25293,False
54544,True
62936,True
49439,True
8667,True
6406,True
31238,False
102780,False
50993,True
110195,False
108607,False
67284,True
29853,False
49069,True
104386,False
72989,True
90391,False
63699,True
112411,False
51314,True
34194,False
89018,False
92421,False
66010,True
102989,False
67228,True
51376,True
42482,False
76897,False
50394,True
84591,False
42060,True
48839,True
61767,True
46705,True
26404,False
16676,False
56536,True
106996,False
107974,False
89419,False
81733,True
31874,False
63855,True
57615,True
115867,False
47155,True
45592,True
53028,True
26773,False
4849,False
37194,False
69461,True
93908,False
26274,False
83608,False
65353,True
37600,False
31139,False
541,False
80236,False
101982,False
2699,True
12683,True
22312,False
115890,False
25728,False
4788,False
58407,True
84107,False
76250,True
8675,True
72123,True
51117,True
106596,False
49890,True
35099,False
2103,False
80445,True
1555,False
93514,False
18094,False
54895,True
66278,True
75508,True
114596,False
53975,True
105950,False
13137,True
37653,False
68784,True
27865,False
38970,False
41454,False
34952,False
9268,True
86789,False
41972,False
43614,True
106239,False
34327,False
37537,False
92367,False
96627,False
95200,False
80062,True
85379,False
41724,True
39394,False
36149,False
117696,False
119040,False
69193,True
18782,False
7425,True
106983,False
69044,True
79101,False
80575,True
87179,False
108822,False
69689,True
547,False
112393,False
104999,False
64788,True
119241,False
2341,False
83911,False
95547,False
58361,True
50834,True
27151,False
60714,True
46853,False
80691,False
22967,False
2317,True
115865,False
100516,False
84001,False
91714,False
61224,True
45681,True
52674,True
19235,True
55629,True
87571,False
95825,False
81659,False
91765,False
117232,False
77786,False
29726,False
23713,False
69679,True
35448,False
108575,False
52270,True
2050,False
80746,True
55338,True
82777,True
43177,True
112570,False
94858,False
105890,False
39653,False
22109,False
111205,False
84066,False
5459,True
3631,True
7976,False
103848,False
110913,False
39432,False
117405,False
118589,False
104891,False
33105,False
1174,True
56449,True
67371,True
112211,False
93533,False
48464,True
43580,False
67278,True
98724,False
30198,False
669,False
83052,False
63005,True
12110,True
112506,False
34356,False
117414,False
58602,True
112846,False
94416,False
113288,False
86139,False
3851,False
30579,False
77265,True
82800,True
85135,False
56483,True
44694,True
17559,False
26433,False
74597,True
27889,False
1405,False
26058,False
96883,False
15345,True
111307,False
93763,False
29389,False
112844,False
57348,True
12763,True
106802,False
12315,True
3459,True
119060,False
83909,False
33058,False
45254,False
78531,False
74032,True
3455,False
110787,False
42733,False
4612,True
92066,False
111060,False
23254,False
1163,True
74847,True
21815,False
40067,True
50474,True
82668,False
68601,True
37702,False
50716,True
38322,False
80667,False
92979,False
29643,False
79132,False
96027,False
20450,False
64338,True
9876,True
16479,False
40401,False
111972,False
74028,True
85911,False
2177,False
73674,True
11742,True
82620,False
3697,False
103386,False
87282,False
2308,False
83597,False
93409,False
110314,False
3565,False
88836,False
27834,False
11570,True
29503,False
38470,False
105751,False
47485,True
20359,False
22987,False
116828,False
39469,False
13714,True
106768,False
117329,False
88926,False
96571,False
113611,False
61574,True
32771,False
42409,True
63937,True
87736,False
66117,True
96360,False
14306,False
93850,False
86472,False
96914,False
64771,True
45025,True
3825,False
55554,True
66041,True
118714,False
97439,False
113812,False
66912,True
109985,False
113654,False
88681,False
19930,False
57576,True
56938,True
41039,False
88083,False
60912,True
9915,True
37527,False
28292,False
22042,False
28728,False
30098,False
100720,False
32424,False
2387,False
116653,False
18416,False
61713,True
3442,False
100913,False
15810,False
1304,False
113664,False
119218,False
110179,False
109948,False
7129,True
100848,False
43288,False
46576,True
55351,True
114298,False
44200,False
105964,False
76147,True
19450,False
117228,False
116499,False
86749,False
78787,True
5944,True
46619,False
59299,True
116435,False
71208,True
99729,False
23210,False
58790,True
87976,False
69740,True
46643,True
37474,False
58411,True
52037,True
7872,True
34705,False
25736,False
75005,True
72436,True
43159,False
82241,True
36494,False
111201,False
18515,False
11532,True
31322,False
69326,True
59098,True
96499,False
3719,False
85377,False
98444,False
52411,True
117540,False
55701,True
98934,False
99016,False
57688,True
96207,False
81701,True
32271,False
46321,True
74230,True
38214,False
84745,False
97329,False
86298,False
36729,False
36116,False
80686,False
36968,False
1356,False
1859,False
73690,True
30748,False
2346,True
106509,False
54658,True
12570,True
37153,False
106429,False
15492,False
45148,True
61535,True
8316,True
63356,True
83105,False
89700,False
6182,True
3781,True
84749,False
116416,False
97607,False
45901,False
83943,False
35847,False
26159,False
64181,True
83212,False
52268,True
58785,True
88906,False
102216,False
41982,False
60990,True
38511,False
36712,False
106760,False
50678,True
67138,True
1637,True
92271,False
41717,True
7744,True
45521,False
22901,False
100486,False
105377,False
52990,True
53927,True
119369,False
57641,True
76810,False
68423,True
6711,True
37390,False
80943,False
76448,True
64907,True
111648,False
83507,False
68465,True
71698,True
116012,False
82766,True
62339,True
98817,False
11534,True
89926,False
92750,False
41355,False
30514,False
104709,False
1288,False
36112,False
38596,False
97795,False
108724,False
14825,True
16820,False
32531,False
7932,False
90203,False
80797,False
111369,False
52953,True
86787,False
106301,False
117377,False
27503,False
85880,False
88990,False
15251,True
108479,False
118,False
78806,False
85795,False
113674,False
71935,True
84794,False
14252,False
78298,False
88002,False
28686,False
106136,False
40507,True
61654,True
67166,True
93889,False
105987,False
31687,False
52824,True
46711,True
101215,False
14864,True
84768,False
98726,False
7947,True
112476,False
77361,True
83985,False
74290,True
59452,True
20914,False
76792,False
42272,False
51635,True
42924,True
65206,True
16279,False
100461,False
57693,True
31978,False
40536,False
27201,False
105756,False
107162,False
38711,False
35273,False
24570,False
100619,False
36639,False
84009,False
5370,True
118101,False
99074,False
6144,False
43220,False
114838,False
31975,False
70534,True
49449,True
91954,False
88416,False
61383,True
31756,False
59188,True
36217,False
28969,False
102088,False
71577,True
19207,True
109702,False
21937,False
90739,False
45,True
34489,False
32751,False
87310,False
7063,True
40952,False
47971,True
117290,False
42734,False
87853,False
28503,False
35285,False
57031,True
47965,False
114253,False
22952,False
79829,True
26901,False
110276,False
116897,False
32859,False
39292,False
29096,True
62867,True
100110,False
74600,True
111233,False
67230,True
53987,True
103195,False
2436,False
3663,False
60568,True
99216,False
60817,True
114754,False
114275,False
28347,False
50290,True
72991,True
105452,False
414,False
5727,False
59478,True
21951,False
32459,False
39741,False
59007,True
26973,False
23827,False
544,True
35454,False
25011,False
42045,True
73637,True
11636,True
57024,True
70977,True
34307,False
34774,False
99947,False
45774,True
39143,False
56448,True
43213,False
13877,False
4348,True
98858,False
65089,True
66480,True
116030,False
69934,True
106314,False
36743,False
116356,False
44319,True
114415,False
15430,False
18927,False
80512,True
63114,True
84958,False
97583,False
99930,False
20218,False
82535,False
111469,False
35280,False
110457,False
67799,True
98829,False
36591,False
28990,False
53837,True
94804,False
17029,False
63911,True
111711,False
19539,False
9676,True
78000,True
110549,False
6133,False
81888,True
99956,False
73370,True
46817,True
22866,False
40563,True
82707,False
92905,False
4595,False
63434,True
109147,False
19160,False
13043,True
43866,False
20537,False
6359,True
59731,True
74531,True
76444,True
26863,False
24929,False
116422,False
28486,False
43068,False
118221,False
9455,True
16296,False
9327,True
22718,False
52053,True
103064,False
106599,False
88437,False
6765,True
41645,False
99123,False
78421,False
50421,True
89603,False
50046,True
66773,True
38377,False
58354,True
35713,False
11390,True
116611,False
64426,True
19093,False
100965,False
80594,False
78099,False
115219,False
100951,False
42759,True
99310,False
97978,False
40989,False
10112,True
109197,False
90536,False
11395,True
46707,False
49215,True
109507,False
108154,False
108713,False
115726,False
55262,True
41610,False
42842,False
115682,False
91016,False
3488,True
102729,False
57329,False
92355,False
107037,False
30294,False
82012,True
25037,False
18590,True
13749,True
16796,False
21562,False
38483,False
72291,True
88439,False
15651,False
114748,False
113181,False
104637,False
21398,False
83257,False
11356,True
44996,True
42153,False
91451,False
119198,False
6506,False
110302,False
29646,False
39361,False
5267,True
115427,False
378,False
101906,False
914,False
71277,True
1614,True
64962,True
103283,False
65849,True
14375,False
27869,False
6143,False
71118,True
73189,True
84073,False
44148,False
65374,True
13874,False
20552,False
1751,False
59881,True
11179,False
67879,True
73606,True
8635,True
65489,True
74931,True
73846,True
58215,True
111616,False
26310,False
117500,False
118661,False
10345,True
95137,False
11068,True
98727,False
61959,True
77988,True
79151,False
4883,True
50534,True
76262,True
24548,False
91129,False
69798,True
116188,False
86692,False
55951,True
101162,False
70713,True
57304,True
92998,False
81690,False
22157,False
93270,False
6823,False
952,True
59320,True
7721,True
110058,False
92846,False
87086,False
85721,False
69850,True
62757,True
27399,False
69023,True
98480,False
56717,True
94544,False
12647,True
118406,False
12852,True
109555,False
72750,True
104871,False
90576,False
11186,True
112943,False
